transaction_id,account_id,line_item,amount,transaction_date
TX001,ACC123,salary,5000.00,2025-03-05
TX002,ACC124,rent,-2000.00,2025-03-05
TX003,ACC125,utilities,-500.00,2025-03-05
TX004,ACC126,sales,3500.00,2025-03-05
TX005,ACC127,marketing,-1500.00,2025-03-05
TX006,ACC128,software,-800.00,2025-03-05
TX007,ACC129,hardware,-1200.00,2025-03-05
TX008,ACC130,consulting,-2500.00,2025-03-05
TX009,ACC131,training,-1000.00,2025-03-05
TX010,ACC132,salary,4500.00,2025-03-05
TX011,ACC133,sales,2800.00,2025-03-05
TX012,ACC134,rent,-1800.00,2025-03-05
